<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20200812,181000,112.85,112.94,112.74,112.83,2018720,0
AAPL.US,5,20200812,181500,112.84,112.97,112.81,112.88,1432220,0
AAPL.US,5,20200812,182000,112.88,113.14,112.86,113.13,2002616,0
AAPL.US,5,20200812,182500,113.14,113.17,112.94,113.06,1736396,0
AAPL.US,5,20200812,183000,113.06,113.11,112.97,112.99,1069536,0
AAPL.US,5,20200812,183500,112.98,113.14,112.93,113.14,1304648,0
AAPL.US,5,20200812,184000,113.14,113.25,113.11,113.24,1557752,0
AAPL.US,5,20200812,184500,113.25,113.28,112.97,113.04,1620808,0
AAPL.US,5,20200812,185000,113.04,113.04,112.93,112.97,1322500,0
AAPL.US,5,20200812,185500,112.97,113,112.62,112.71,2183592,0
AAPL.US,5,20200812,190000,112.71,112.92,112.7,112.82,1587912,0
AAPL.US,5,20200812,190500,112.82,112.85,112.6,112.61,1141996,0
AAPL.US,5,20200812,191000,112.6,112.77,112.58,112.67,1338792,0
AAPL.US,5,20200812,191500,112.68,112.69,112.35,112.46,1702916,0
AAPL.US,5,20200812,192000,112.46,112.61,112.4,112.51,1254540,0
AAPL.US,5,20200812,192500,112.52,112.57,112.28,112.33,1318388,0
AAPL.US,5,20200812,193000,112.32,112.69,112.32,112.68,1513336,0
AAPL.US,5,20200812,193500,112.67,113,112.58,112.99,2168420,0
AAPL.US,5,20200812,194000,112.99,113.02,112.86,112.92,1625224,0
AAPL.US,5,20200812,194500,112.92,113.12,112.9,113.12,1296508,0
AAPL.US,5,20200812,195000,113.11,113.15,113.03,113.04,1089056,0
AAPL.US,5,20200812,195500,113.03,113.23,112.93,113.21,1310728,0
AAPL.US,5,20200812,200000,113.2,113.25,113.16,113.21,934172,0
AAPL.US,5,20200812,200500,113.21,113.23,113.07,113.14,874132,0
AAPL.US,5,20200812,201000,113.14,113.28,113.07,113.12,1373604,0
AAPL.US,5,20200812,201500,113.12,113.17,112.95,112.97,1024488,0
AAPL.US,5,20200812,202000,112.98,113.15,112.95,113.08,973276,0
AAPL.US,5,20200812,202500,113.07,113.09,112.95,112.96,829888,0
AAPL.US,5,20200812,203000,112.96,113.16,112.96,113.08,894576,0
AAPL.US,5,20200812,203500,113.08,113.12,112.97,112.99,736272,0
AAPL.US,5,20200812,204000,112.99,113.07,112.97,113.01,696140,0
AAPL.US,5,20200812,204500,113.01,113.17,112.95,113.14,1050716,0
AAPL.US,5,20200812,205000,113.14,113.14,112.78,112.78,1298804,0
AAPL.US,5,20200812,205500,112.78,112.91,112.68,112.83,1298336,0
AAPL.US,5,20200812,210000,112.83,112.97,112.65,112.68,1177044,0
AAPL.US,5,20200812,210500,112.68,112.78,112.65,112.73,1042104,0
AAPL.US,5,20200812,211000,112.73,113,112.7,112.97,1417416,0
AAPL.US,5,20200812,211500,112.97,113,112.9,112.97,711660,0
AAPL.US,5,20200812,212000,112.97,113.11,112.83,113.09,1211328,0
AAPL.US,5,20200812,212500,113.09,113.1,112.88,112.92,839132,0
AAPL.US,5,20200812,213000,112.93,113,112.54,112.73,1799800,0
AAPL.US,5,20200812,213500,112.74,112.96,112.64,112.95,1499284,0
AAPL.US,5,20200812,214000,112.94,113.04,112.9,113,1321088,0
AAPL.US,5,20200812,214500,113,113.02,112.82,112.91,1244840,0
AAPL.US,5,20200812,215000,112.93,113.26,112.83,112.94,1964528,0
AAPL.US,5,20200812,215500,112.94,113.06,112.89,113.01,10208888,0
AAPL.US,5,20200813,153000,114.43,115.12,114.06,114.64,8692692,0
AAPL.US,5,20200813,153500,114.65,114.74,114.1,114.7,2814324,0
AAPL.US,5,20200813,154000,114.71,114.87,114.44,114.68,2136280,0
AAPL.US,5,20200813,154500,114.68,114.83,114.08,114.23,3604136,0
AAPL.US,5,20200813,155000,114.21,114.56,114.01,114.04,2460696,0
AAPL.US,5,20200813,155500,114.03,114.55,114.03,114.48,1809544,0
AAPL.US,5,20200813,160000,114.49,114.58,114.21,114.39,2077932,0
AAPL.US,5,20200813,160500,114.4,114.62,114.22,114.37,1840828,0
AAPL.US,5,20200813,161000,114.39,114.43,114.15,114.23,1490464,0
AAPL.US,5,20200813,161500,114.25,114.34,113.93,114.11,2415048,0
AAPL.US,5,20200813,162000,114.12,114.3,114.07,114.26,1412716,0
AAPL.US,5,20200813,162500,114.26,114.67,114.24,114.61,2101960,0
AAPL.US,5,20200813,163000,114.61,114.86,114.55,114.77,2478368,0
AAPL.US,5,20200813,163500,114.76,114.76,114.58,114.61,1399844,0
AAPL.US,5,20200813,164000,114.61,114.97,114.56,114.84,2109152,0
AAPL.US,5,20200813,164500,114.84,115.12,114.76,115.09,3256872,0
AAPL.US,5,20200813,165000,115.1,115.31,115.05,115.17,3022532,0
AAPL.US,5,20200813,165500,115.17,115.18,114.85,115.06,2510024,0
AAPL.US,5,20200813,170000,115.06,115.39,115.05,115.33,2238276,0
AAPL.US,5,20200813,170500,115.34,115.58,115.25,115.57,2478628,0
AAPL.US,5,20200813,171000,115.56,115.56,115.3,115.39,2136044,0
AAPL.US,5,20200813,171500,115.39,115.48,115.21,115.36,1769496,0
AAPL.US,5,20200813,172000,115.36,115.39,115.13,115.17,1452060,0
