<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200813,195000,325.66,327.49,325.35,327.24,309905,0
TSLA.US,5,20200813,195500,327.32,327.42,326,326.45,299935,0
TSLA.US,5,20200813,200000,326.51,326.74,325.63,326.21,210490,0
TSLA.US,5,20200813,200500,326.01,326.34,325.6,326.13,203190,0
TSLA.US,5,20200813,201000,326.01,326.01,323.71,325.12,558170,0
TSLA.US,5,20200813,201500,325.28,325.92,324,324.08,331160,0
TSLA.US,5,20200813,202000,324.02,324.57,320.6,321.34,1131460,0
TSLA.US,5,20200813,202500,321.3,323.2,320.12,322.46,795395,0
TSLA.US,5,20200813,203000,322.11,323.4,321.65,323.4,371385,0
TSLA.US,5,20200813,203500,323.19,323.52,321.05,321.63,443535,0
TSLA.US,5,20200813,204000,321.62,322.79,321.42,321.79,359065,0
TSLA.US,5,20200813,204500,321.52,323.4,321.52,322.47,297260,0
TSLA.US,5,20200813,205000,322.51,322.52,318.81,320.69,820425,0
TSLA.US,5,20200813,205500,320.8,321.2,319.48,320.36,494430,0
TSLA.US,5,20200813,210000,320.49,321.16,319.4,320.42,466425,0
TSLA.US,5,20200813,210500,320.52,322.4,319.83,321.65,530305,0
TSLA.US,5,20200813,211000,321.55,322.8,321,322.66,340215,0
TSLA.US,5,20200813,211500,322.45,323.97,322.36,323.19,614095,0
TSLA.US,5,20200813,212000,323.23,325.2,323,325,631775,0
TSLA.US,5,20200813,212500,324.98,325.88,324.13,325.37,452670,0
TSLA.US,5,20200813,213000,325.35,325.68,324.8,325.35,322960,0
TSLA.US,5,20200813,213500,325.36,327.1,325,325.31,703790,0
TSLA.US,5,20200813,214000,325.17,326.29,325.03,325.27,443645,0
TSLA.US,5,20200813,214500,325.36,325.54,323.4,323.77,559575,0
TSLA.US,5,20200813,215000,323.74,325.48,323.7,325,450330,0
TSLA.US,5,20200813,215500,324.82,324.98,323.8,324.2,964435,0
TSLA.US,5,20200814,153000,333,333.76,329.2,329.68,2097770,0
TSLA.US,5,20200814,153500,329.69,333,328.6,332.55,867810,0
TSLA.US,5,20200814,154000,332.68,332.68,329.36,329.97,752585,0
TSLA.US,5,20200814,154500,329.86,330.2,327.71,329.86,1070515,0
TSLA.US,5,20200814,155000,329.98,331,328.49,331,668355,0
TSLA.US,5,20200814,155500,330.79,332.4,329.77,331.44,871735,0
TSLA.US,5,20200814,160000,331.41,332.2,329.24,330.06,683525,0
TSLA.US,5,20200814,160500,330.06,330.48,328.19,328.76,675995,0
TSLA.US,5,20200814,161000,328.82,330.2,326.66,327,668145,0
TSLA.US,5,20200814,161500,327.29,328.63,327.24,327.75,591165,0
TSLA.US,5,20200814,162000,328,328.4,326.2,328.01,683550,0
TSLA.US,5,20200814,162500,327.85,329.2,327.18,327.73,591725,0
TSLA.US,5,20200814,163000,328,329.64,327.21,329.2,457800,0
TSLA.US,5,20200814,163500,329.29,330.32,328.04,330.2,552480,0
TSLA.US,5,20200814,164000,330.08,331.11,329.42,330.82,618055,0
TSLA.US,5,20200814,164500,331,331.52,330.5,330.72,543110,0
TSLA.US,5,20200814,165000,330.74,331.39,330,330.24,310520,0
TSLA.US,5,20200814,165500,330.3,330.62,328.86,329.33,452700,0
TSLA.US,5,20200814,170000,329.29,329.88,328.3,329.55,395560,0
TSLA.US,5,20200814,170500,329.49,330.49,329.11,329.88,352945,0
TSLA.US,5,20200814,171000,329.79,329.88,328.75,329.03,207375,0
TSLA.US,5,20200814,171500,329.27,329.28,328,328.74,298620,0
TSLA.US,5,20200814,172000,328.66,329.46,328.41,329.28,266080,0
TSLA.US,5,20200814,172500,329.23,330.39,329.05,330.35,287605,0
TSLA.US,5,20200814,173000,330.4,331.2,330.24,331,444435,0
TSLA.US,5,20200814,173500,330.89,331,329.78,330,248840,0
TSLA.US,5,20200814,174000,330.05,330.2,329.24,329.66,238280,0
TSLA.US,5,20200814,174500,329.67,330.33,329.4,329.51,229145,0
TSLA.US,5,20200814,175000,329.5,329.8,329,329.26,142780,0
TSLA.US,5,20200814,175500,329.43,330.12,329.02,329.28,185305,0
TSLA.US,5,20200814,180000,329.42,330.03,329.33,329.82,143705,0
TSLA.US,5,20200814,180500,329.83,330.1,329.4,329.49,116735,0
